Data Year,Fuel Type,ZIP,Number of Vehicles
2011,Electric,91607,2
2011,Electric,91701,4
2011,Electric,91702,2
2011,Electric,91709,7
2011,Electric,91710,4
2011,Electric,91711,17
2011,Electric,91724,1
2011,Electric,91729,1
2011,Electric,91730,2
2011,Electric,91732,1
2011,Electric,91739,2
2011,Electric,91740,1
2011,Electric,91741,1
2011,Electric,91745,5
2011,Electric,91748,2
2011,Electric,91750,2
2011,Electric,91752,3
2011,Electric,91755,2
2011,Electric,91762,1
2011,Electric,91763,1
2011,Electric,91765,5
2011,Electric,91766,4
2011,Electric,91767,5
2011,Electric,91768,1
2011,Electric,91773,4
2011,Electric,91775,3
2011,Electric,91780,3
2011,Electric,91784,1
2011,Electric,91786,4
2011,Electric,91788,1
2011,Electric,91789,5
2011,Electric,91790,1
2011,Electric,91791,1
2011,Electric,91792,1
2011,Electric,91801,2
2011,Electric,91803,1
2011,Electric,91901,3
2011,Electric,91902,10
2011,Electric,91910,6
2011,Electric,91911,2
2011,Electric,91913,6
2011,Electric,91914,7
2011,Electric,91915,2
2011,Electric,91935,5
2011,Electric,91941,10
2011,Electric,91942,1
2011,Electric,91945,1
2011,Electric,91950,1
2011,Electric,91977,5
2011,Electric,91978,3
2011,Electric,92003,4
2011,Electric,92007,4
2011,Electric,92008,7
2011,Electric,92009,19
2011,Electric,92010,4
2011,Electric,92011,9
2011,Electric,92014,18
2011,Electric,92019,8
2011,Electric,92020,4
2011,Electric,92021,4
2011,Electric,92023,1
2011,Electric,92024,47
2011,Electric,92025,8
2011,Electric,92026,9
2011,Electric,92027,5
2011,Electric,92028,6
2011,Electric,92029,14
2011,Electric,92036,1
2011,Electric,92037,25
2011,Electric,92040,4
2011,Electric,92054,4
2011,Electric,92056,9
2011,Electric,92057,8
2011,Electric,92058,1
2011,Electric,92064,27
2011,Electric,92065,14
2011,Electric,92067,9
2011,Electric,92069,12
2011,Electric,92071,7
2011,Electric,92075,10
2011,Electric,92078,14
2011,Electric,92081,3
2011,Electric,92082,1
2011,Electric,92083,4
2011,Electric,92084,7
2011,Electric,92091,4
2011,Electric,92093,7
2011,Electric,92101,119
2011,Electric,92102,4
2011,Electric,92103,10
2011,Electric,92104,17
2011,Electric,92105,3
2011,Electric,92106,7
2011,Electric,92107,14
2011,Electric,92109,13
2011,Electric,92110,7
2011,Electric,92111,7
2011,Electric,92113,1
2011,Electric,92114,2
2011,Electric,92115,10
2011,Electric,92116,11
2011,Electric,92117,21
2011,Electric,92118,8
2011,Electric,92119,4
2011,Electric,92120,13
2011,Electric,92121,6
2011,Electric,92122,21
2011,Electric,92123,10
2011,Electric,92124,11
2011,Electric,92126,14
2011,Electric,92127,20
2011,Electric,92128,23
2011,Electric,92129,29
2011,Electric,92130,61
2011,Electric,92131,21
2011,Electric,92154,2
2011,Electric,92201,1
2011,Electric,92211,2
2011,Electric,92234,2
2011,Electric,92253,3
2011,Electric,92260,1
2011,Electric,92261,1
2011,Electric,92262,2
2011,Electric,92264,2
2011,Electric,92270,2
2011,Electric,92276,1
2011,Electric,92313,1
2011,Electric,92324,1
2011,Electric,92335,1
2011,Electric,92336,1
2011,Electric,92344,1
2011,Electric,92346,1
2011,Electric,92373,1
2011,Electric,92376,1
2011,Electric,92382,1
2011,Electric,92404,2
2011,Electric,92501,2
2011,Electric,92503,1
2011,Electric,92504,1
2011,Electric,92505,1
2011,Electric,92507,3
2011,Electric,92509,2
2011,Electric,92530,1
2011,Electric,92536,1
2011,Electric,92553,1
2011,Electric,92555,1
2011,Electric,92557,3
2011,Electric,92562,1
2011,Electric,92563,3
2011,Electric,92564,1
2011,Electric,92570,2
2011,Electric,92571,1
2011,Electric,92584,3
2011,Electric,92586,2
2011,Electric,92592,3
2011,Electric,92596,1
2011,Electric,92602,1
2011,Electric,92603,12
2011,Electric,92604,7
2011,Electric,92606,6
2011,Electric,92610,2
2011,Electric,92612,4
2011,Electric,92614,1
2011,Electric,92617,3
2011,Electric,92618,21
2011,Electric,92619,3
2011,Electric,92620,9
2011,Electric,92624,2
2011,Electric,92625,4
2011,Electric,92626,15
2011,Electric,92627,3
2011,Electric,92628,1
2011,Electric,92629,7
2011,Electric,92630,5
2011,Electric,92646,10
2011,Electric,92647,8
2011,Electric,92648,12
2011,Electric,92649,10
2011,Electric,92651,13
2011,Electric,92653,6
2011,Electric,92656,6
2011,Electric,92657,7
2011,Electric,92660,7
2011,Electric,92661,1
2011,Electric,92662,1
2011,Electric,92663,4
2011,Electric,92672,7
2011,Electric,92673,2
2011,Electric,92675,2
2011,Electric,92676,1
2011,Electric,92677,13
2011,Electric,92679,9
2011,Electric,92683,5
2011,Electric,92688,5
2011,Electric,92691,5
2011,Electric,92692,4
